particula_id,paso,x,y,tipo,carga
1,9,-0.014515693392808338,0.7055878017736387,Sana,1.2569089569224075e-06
1,10,0.023624922119227232,0.501562407847873,Sana,1.2569089569224075e-06
1,11,0.06961939474779778,0.29574610366832144,Sana,1.2569089569224075e-06
1,12,0.12468119122110186,0.08852505363650148,Sana,1.2569089569224075e-06
1,13,0.18997152921372698,-0.1192267028458317,Sana,1.2569089569224075e-06
1,14,0.2663366790296316,-0.3261205187941071,Sana,1.2569089569224075e-06
1,15,0.3539782707218578,-0.5303353362932691,Sana,1.2569089569224075e-06
1,16,0.45205273422941694,-0.7299083224200041,Sana,1.2569089569224075e-06
1,17,0.5584648836995322,-0.9234332248408404,Sana,1.2569089569224075e-06
1,18,0.6705141743235508,-1.110788888760786,Sana,1.2569089569224075e-06
1,19,0.7859950944301531,-1.2928925986810267,Sana,1.2569089569224075e-06
1,20,0.9035353822556008,-1.4709082103042925,Sana,1.2569089569224075e-06
1,21,1.0223569472151544,-1.6458280082412513,Sana,1.2569089569224075e-06
1,22,1.142015606401068,-1.8184013899288245,Sana,1.2569089569224075e-06
1,23,1.2622465949022321,-1.989175690765665,Sana,1.2569089569224075e-06
1,24,1.382884003145659,-2.158549942424406,Sana,1.2569089569224075e-06
1,25,1.5038189866482463,-2.326817930498734,Sana,1.2569089569224075e-06
1,26,1.6249773064788524,-2.4941989770646122,Sana,1.2569089569224075e-06
1,27,1.7463066756883054,-2.6608592729878664,Sana,1.2569089569224075e-06
2,0,-0.17676655513272022,2.5,Infectada,1.8737638446522174e-06
2,1,-0.17472276827777522,2.3008591200929427,Infectada,1.8737638446522174e-06
2,2,-0.16996066672602372,2.1026467601841983,Infectada,1.8737638446522174e-06
2,3,-0.1616510057260192,1.905292266556844,Infectada,1.8737638446522174e-06
2,4,-0.14889605890479138,1.7085216084639154,Infectada,1.8737638446522174e-06
2,5,-0.13083589125915163,1.511868364720044,Infectada,1.8737638446522174e-06
2,6,-0.10668851613613911,1.3147432522307936,Infectada,1.8737638446522174e-06
2,7,-0.07570372178978103,1.116502471301655,Infectada,1.8737638446522174e-06
2,8,-0.03706182377298946,0.9164941086774331,Infectada,1.8737638446522174e-06
2,9,0.010259669655487538,0.714105314467693,Infectada,1.8737638446522174e-06
2,10,0.06764183324352112,0.5088527730896325,Infectada,1.8737638446522174e-06
2,11,0.13697618555705304,0.30056839975780547,Infectada,1.8737638446522174e-06
2,12,0.22073742123847997,0.08971594325543464,Infectada,1.8737638446522174e-06
2,13,0.32187538426279916,-0.1221958339518864,Infectada,1.8737638446522174e-06
2,14,0.44349970893039153,-0.33216991563264253,Infectada,1.8737638446522174e-06
2,15,0.5882693262340908,-0.5351148592919792,Infectada,1.8737638446522174e-06
2,16,0.7562747818997868,-0.7230390160111719,Infectada,1.8737638446522174e-06
2,17,0.939168089283492,-0.8887501100473272,Infectada,1.8737638446522174e-06
2,18,1.1256517807679438,-1.0363153211210494,Infectada,1.8737638446522174e-06
2,19,1.3117296024472342,-1.1724298030491096,Infectada,1.8737638446522174e-06
2,20,1.4965861722729012,-1.3012073241233777,Infectada,1.8737638446522174e-06
2,21,1.6801917212994388,-1.425022229289367,Infectada,1.8737638446522174e-06
2,22,1.8626920242502512,-1.5453174128191178,Infectada,1.8737638446522174e-06
2,23,2.0442544406511742,-1.6630202133791097,Infectada,1.8737638446522174e-06
2,24,2.225029209701775,-1.778755242477406,Infectada,1.8737638446522174e-06
2,25,2.405142314563034,-1.8929595564358954,Infectada,1.8737638446522174e-06
2,26,2.584697090190656,-2.0059486799117416,Infectada,1.8737638446522174e-06
2,27,2.763777842930952,-2.1179564016517896,Infectada,1.8737638446522174e-06
2,28,2.9424534708306442,-2.2291597990688343,Infectada,1.8737638446522174e-06
2,29,3.1207805515054785,-2.339695547376594,Infectada,1.8737638446522174e-06
3,0,-0.19176620228167904,2.5,Infectada,1.6302304187458725e-06
3,1,-0.1899792284341777,2.300786197860175,Infectada,1.6302304187458725e-06
3,2,-0.18580495037178163,2.1024320612214478,Infectada,1.6302304187458725e-06
3,3,-0.1784998730494931,1.904888002967978,Infectada,1.6302304187458725e-06
3,4,-0.16725599657681822,1.7079223253044409,Infectada,1.6302304187458725e-06
3,5,-0.15130081969624032,1.5111318830294254,Infectada,1.6302304187458725e-06
3,6,-0.12993760444900737,1.3140087911973577,Infectada,1.6302304187458725e-06
3,7,-0.1025082397073161,1.1160065504957908,Infectada,1.6302304187458725e-06
3,8,-0.06831140411961467,0.9165859384427096,Infectada,1.6302304187458725e-06
3,9,-0.026502167904398508,0.7152602744801831,Infectada,1.6302304187458725e-06
3,10,0.024011853725293464,0.5116725959184504,Infectada,1.6302304187458725e-06
3,11,0.08465023029740248,0.3057359864867309,Infectada,1.6302304187458725e-06
3,12,0.15715867934389427,0.09784584610117636,Infectada,1.6302304187458725e-06
3,13,0.24346403667863237,-0.11087828388864229,Infectada,1.6302304187458725e-06
3,14,0.34536678525143827,-0.3183894136765201,Infectada,1.6302304187458725e-06
3,15,0.4640298445173858,-0.521567162492351,Infectada,1.6302304187458725e-06
3,16,0.5989555728883251,-0.7162984715807098,Infectada,1.6302304187458725e-06
3,17,0.7464101281392704,-0.898953310004165,Infectada,1.6302304187458725e-06
3,18,0.9005136197462247,-1.0695466570494008,Infectada,1.6302304187458725e-06
3,19,1.0572588839925519,-1.2309036910342577,Infectada,1.6302304187458725e-06
3,20,1.2148917791553786,-1.385742293235373,Infectada,1.6302304187458725e-06
